id;product_id;name;value;description;type
1;55657;bi-directional multi-byte;ubiquitous Won;USB;36939
2;6948;Cotton Concrete;grey Group;back up multi-state moderator;63849
3;52246;methodologies;mission-critical Cheese;Lights;74206
4;11535;Forward payment bypassing;Auto Loan Account;copy Engineer Kwacha;81570
5;70679;Gorgeous copy;redundant;Principal next-generation;1337
6;78295;Ghana application wireless;solutions;mint green 1080p;84755
7;75852;Planner alarm New Jersey;pink;Lithuanian Litas;46319
8;64638;Avon backing up;Money Market Account Ergonomic maroon;New Taiwan Dollar Ridges;61006
9;7508;Web Outdoors;Personal Loan Account;payment;29395
10;11811;generate redefine Open-source;Accounts Fantastic Wooden Cheese Awesome Soft Mouse;Gorgeous Steel Table leverage systemic;25045
