id;name;value;description
1;feed Mission;Jordanian Dinar Dynamic;Corporate Alaska Buckinghamshire
2;Paraguay;portals Malagasy Ariary blue;vortals digital Inverse
3;black productize transform;intangible Handmade;system evolve payment
4;Sports Borders;transmitter;Highway
5;synthesize;Cambridgeshire Fiji Dollar;Egyptian Pound
6;Synchronised indexing bricks-and-clicks;synergistic;Ergonomic Frozen Chips turn-key Money Market Account
7;payment connect online;1080p grey Sleek Granite Shoes;Handmade quantifying
8;parse Steel mint green;full-range Cheese Azerbaijan;Chicken Steel
9;Missouri;Andorra;port Optimization Handcrafted
10;matrix redundant International;India exuding;efficient Persistent
