id;name;value;description
1;parse;Highway Berkshire;models
2;technologies strategy;applications Guinea Franc;deposit Shoes Personal Loan Account
3;Sausages;North Dakota;Cross-group
4;exploit;microchip;Alaska
5;Unbranded Plastic Fish Alabama;productize Rubber compressing;platforms Advanced
6;solution exploit copying;Legacy Licensed Steel Chair Sausages;violet Borders
7;paradigm;withdrawal;Granite SDD
8;Handcrafted Concrete Chicken;French Polynesia;index Guam
9;transmit syndicate Licensed Frozen Chicken;Intelligent Secured indigo;Mississippi
10;Cambridgeshire 6th generation;calculating visionary;Cotton GB
